Variety,Year,Production,rPrice,Colour,Country
Chardonnay,2009,368950.9459,627.5009766,White,France
Chardonnay,2010,298634.7991,524.1600952,White,France
Chardonnay,2011,351027.2378,447.5775757,White,France
Chardonnay,2012,339470.5618,518.5250854,White,France
Chardonnay,2013,351994.2937,530.4684448,White,France
Chardonnay,2014,326383.4315,422.0688171,White,France
Chardonnay,2015,347863.12,432.7372742,White,France
Chardonnay,2016,358940.5958,506.9447021,White,France
Chardonnay,2017,317253.0799,531.6447754,White,France
Chardonnay,2018,346838.1489,548.2762451,White,France
Chardonnay,2019,319112.0313,596.6841431,White,France
Chardonnay,2020,258053.0799,590.7655029,White,France
Chardonnay,2021,343454.8562,635.1516724,White,France
Chardonnay,2022,324429.7841,599.5882568,White,France
Chardonnay,2023,230225.623,598.7002563,White,France
Chenin Blanc,2001,13954.99999,1052.119385,White,France
Chenin Blanc,2002,14163.34997,792.4321899,White,France
Chenin Blanc,2003,10510.10005,767.5795288,White,France
Chenin Blanc,2004,13645.81427,624.1536255,White,France
Chenin Blanc,2005,12214.3999,817.4231567,White,France
Chenin Blanc,2006,11660.29996,788.6741943,White,France
Chenin Blanc,2007,8219.826328,803.9008789,White,France
Chenin Blanc,2008,9103.779948,903.9571533,White,France
Chenin Blanc,2009,10041.39652,986.6946411,White,France
Chenin Blanc,2010,6837.700074,733.1771851,White,France
Chenin Blanc,2011,5136.337135,679.9720459,White,France
Chenin Blanc,2012,6637.110022,619.5655518,White,France
Chenin Blanc,2013,5551.939637,735.9956055,White,France
Chenin Blanc,2014,5106.584552,671.3557739,White,France
Chenin Blanc,2015,9077.94291,546.7407837,White,France
Chenin Blanc,2016,4851.990986,510.3867188,White,France
Chenin Blanc,2017,4405.711034,501.6884766,White,France
Chenin Blanc,2018,4544.504004,491.0915833,White,France
Chenin Blanc,2019,4652.609082,646.7957153,White,France
Chenin Blanc,2020,4003.697962,529.9769287,White,France
Chenin Blanc,2021,4615.247994,678.8515015,White,France
Chenin Blanc,2022,3952.599967,673.2322998,White,France
Chenin Blanc,2023,3252.625,742.55896,White,France
Cienna,2001,0,0,Red,Australia
Cienna,2002,0,0,Red,Australia
Cienna,2003,0,0,Red,Australia
Cienna,2004,0,0,Red,Australia
Cienna,2005,0,0,Red,Australia
Cienna,2006,0,0,Red,Australia
Cienna,2007,0,0,Red,Australia
Cienna,2008,0,0,Red,Australia
Cienna,2009,0,0,Red,Australia
Cienna,2010,0,0,Red,Australia
Cienna,2011,541.7170868,802.6340942,Red,Australia
Cienna,2012,0,0,Red,Australia
Cienna,2013,545.1002655,954.1126099,Red,Australia
Cienna,2014,185.7118378,916.0785522,Red,Australia
Cienna,2015,744.1400146,,Red,Australia
Cienna,2016,1491.010034,,Red,Australia
Cienna,2017,1227.880005,,Red,Australia
Cienna,2018,1662.950043,,Red,Australia
Cienna,2019,2032.440063,,Red,Australia
Cienna,2020,2161.870117,,Red,Australia
Cienna,2021,1903.040039,,Red,Australia
Cienna,2022,0,0,Red,Australia
Cienna,2023,1353.021,,Red,Australia
Colombard,2001,39828.79981,670.1653442,White,France
Colombard,2002,61422.06905,682.4961548,White,France
Colombard,2003,56272.69942,631.0408936,White,France
Colombard,2004,71094.18947,592.6552124,White,France
Colombard,2005,79489.60019,553.5906982,White,France
Colombard,2006,76391.69922,451.9966431,White,France
Colombard,2007,56287.59148,456.2377014,White,France
Colombard,2008,60373.9898,615.0158081,White,France
Colombard,2009,60944.45212,398.5157471,White,France
Colombard,2010,47033.69951,282.2195435,White,France
Colombard,2011,57107.3252,265.2348938,White,France
Colombard,2012,56891.14934,297.3968506,White,France
Colombard,2013,63390.96802,293.2866821,White,France
Colombard,2014,52044.57975,245.9773254,White,France
Colombard,2015,57735.34799,243.8324127,White,France
Colombard,2016,47137.68786,254.5054626,White,France
Colombard,2017,55733.28743,280.2432556,White,France
Colombard,2018,48023.27091,296.6475525,White,France
Colombard,2019,45395.41797,323.2401733,White,France
Colombard,2020,42813.1827,364.7709045,White,France
Colombard,2021,48377.74931,364.7539368,White,France
Colombard,2022,43833.18794,350.5918579,White,France
Colombard,2023,35630.106,295.0983887,White,France
Crouchen,2001,1545.100025,810.1861572,White,France
Crouchen,2002,1922.429951,819.9483032,White,France
Crouchen,2003,1248.000025,789.4720459,White,France
Crouchen,2004,2359.992519,474.419342,White,France
Crouchen,2005,2180.100024,762.6154175,White,France
Crouchen,2006,1719.100024,773.0245361,White,France
Crouchen,2007,1932.170253,762.2576904,White,France
Crouchen,2008,2689.400095,729.6122437,White,France
Crouchen,2009,166.0826225,443.2796326,White,France
Crouchen,2010,2324.8,329.3653564,White,France
Crouchen,2011,497.0177002,479.7400208,White,France
Crouchen,2012,134,319.601593,White,France
Crouchen,2013,1175.689117,478.8364868,White,France
Crouchen,2014,442.3376465,398.6828918,White,France
Crouchen,2015,1628.889038,,White,France
Crouchen,2016,1203.769958,,White,France
Crouchen,2017,785.3999939,,White,France
Crouchen,2018,845.1199799,,White,France
Crouchen,2019,616.8399963,,White,France
Crouchen,2020,755.8900146,,White,France
Crouchen,2021,473.6799927,,White,France
Crouchen,2022,0,0,White,France
Crouchen,2023,458.55,,White,France
Cot,2001,3810.100017,1794.600952,Red,France
Cot,2002,2925.440002,1642.259277,Red,France
Cot,2003,3518.199998,1563.166748,Red,France
Cot,2004,3503.541321,1204.592285,Red,France
Cot,2005,3400.199988,1380.862427,Red,France
Cot,2006,3181.899998,1059.357422,Red,France
Cot,2007,1817.214165,1410.701294,Red,France
Cot,2008,2627.849988,1474.957031,Red,France
Cot,2009,1113.497896,1173.349976,Red,France
Cot,2010,2274.800002,1006.539856,Red,France
Cot,2011,1438.157772,920.0578613,Red,France
Cot,2012,2536.529996,919.6339722,Red,France
Cot,2013,1789.137722,995.972229,Red,France
Cot,2014,1843.121071,1035.16748,Red,France
Cot,2015,2931.539,1175.76355,Red,France
Cot,2016,5071.372021,1250.481689,Red,France
Cot,2017,5756.778995,1383.664185,Red,France
Cot,2018,3583.45201,1593.766846,Red,France
Cot,2019,5458.088968,1603.63147,Red,France
Cot,2020,3341.64602,1969.766724,Red,France
Cot,2021,5827.231032,1449.110474,Red,France
Cot,2022,8840.501889,1020.217712,Red,France
Cot,2023,7384.879,1685.064331,Red,France
Dolcetto,2001,0,0,Red,Italy
Dolcetto,2002,0,0,Red,Italy
Dolcetto,2003,0,0,Red,Italy
Dolcetto,2004,46,2501.483887,Red,Italy
Dolcetto,2005,45,1964.748291,Red,Italy
Dolcetto,2006,0,0,Red,Italy
Dolcetto,2007,0,0,Red,Italy
Dolcetto,2008,0,0,Red,Italy
Dolcetto,2009,46.46624756,1044.027954,Red,Italy
Dolcetto,2010,1604.300021,,Red,Italy
Dolcetto,2011,48.31893158,404.3346863,Red,Italy
Dolcetto,2012,1132.240029,,Red,Italy
Dolcetto,2013,96.91739082,776.5219727,Red,Italy
Dolcetto,2014,37.34758425,1582.115845,Red,Italy
Dolcetto,2015,800.6919854,901.7677612,Red,Italy
Dolcetto,2016,806.6440068,896.2578125,Red,Italy
Dolcetto,2017,1080.298009,,Red,Italy
Dolcetto,2018,827.0040109,,Red,Italy
Dolcetto,2019,1203.565002,882.7926636,Red,Italy
Dolcetto,2020,815.7409964,,Red,Italy
Dolcetto,2021,887.4530013,664.244873,Red,Italy
Dolcetto,2022,0,0,Red,Italy
Dolcetto,2023,712.481,859.4379272,Red,Italy
Durif,2001,1487.000044,1175.491943,Red,France
Durif,2002,2950.179938,1149.045654,Red,France
Durif,2003,3220.70005,945.9255371,Red,France
Durif,2004,4058.759897,959.2401123,Red,France
Durif,2005,4758.40002,847.0482788,Red,France
Durif,2006,4320.400043,664.6317139,Red,France
Durif,2007,4192.810111,868.3535767,Red,France
Durif,2008,5207.389985,834.7805786,Red,France
Durif,2009,3960.749379,832.5720215,Red,France
Durif,2010,4171.200039,540.1033325,Red,France
Durif,2011,3500.167446,468.4472351,Red,France
Durif,2012,3673.319929,527.3426514,Red,France
Durif,2013,4746.502854,722.1135254,Red,France
Durif,2014,4048.468131,654.0063477,Red,France
Durif,2015,6116.337817,579.7648315,Red,France
Durif,2016,5737.687868,594.3306274,Red,France
Durif,2017,8064.02111,644.6758423,Red,France
Durif,2018,7866.676209,713.8067017,Red,France
Durif,2019,10603.6209,820.755249,Red,France
Durif,2020,11577.28467,814.7086182,Red,France
Durif,2021,13921.64404,723.0946045,Red,France
Durif,2022,15147.75438,504.6304321,Red,France
Durif,2023,11384.357,350.3313293,Red,France
Fiano,2001,0,0,White,Italy
Fiano,2002,0,0,White,Italy
Fiano,2003,0,0,White,Italy
Fiano,2004,0,0,White,Italy
Fiano,2005,0,0,White,Italy
Fiano,2006,0,0,White,Italy
Fiano,2007,0,0,White,Italy
Fiano,2008,0,0,White,Italy
Fiano,2009,16.64964485,2301.824463,White,Italy
Fiano,2010,0,0,White,Italy
Fiano,2011,80.89715195,1229.582031,White,Italy
Fiano,2012,187.3999925,623.2230835,White,Italy
Fiano,2013,722.1231012,675.9312744,White,Italy
Fiano,2014,1577.010082,546.104126,White,Italy
Fiano,2015,1152.499997,503.7018738,White,Italy
Fiano,2016,1926.916988,1550.316528,White,Italy
Fiano,2017,2640.943015,1105.728149,White,Italy
Fiano,2018,1764.741996,1730.773804,White,Italy
Fiano,2019,2881.016054,556.0184937,White,Italy
Fiano,2020,1959.210057,1081.359375,White,Italy
Fiano,2021,2573.599975,1411.757813,White,Italy
Fiano,2022,2398.437019,1165.633789,White,Italy
Fiano,2023,1251.283,1105.631104,White,Italy
Garnacha Tinta,2001,21760.30002,1533.78064,Red,Spain
Garnacha Tinta,2002,25870.32996,1482.728394,Red,Spain
Garnacha Tinta,2003,19648.59997,1369.21875,Red,Spain
Garnacha Tinta,2004,23693.30218,1306.685547,Red,Spain
Garnacha Tinta,2005,25349.1,1148.140381,Red,Spain
Garnacha Tinta,2006,23204.59996,963.4030762,Red,Spain
Garnacha Tinta,2007,15193.19875,1056.796265,Red,Spain
Garnacha Tinta,2008,16844.47999,1404.476807,Red,Spain
Garnacha Tinta,2009,15391.08631,1003.531311,Red,Spain
Garnacha Tinta,2010,10337.5,958.8897705,Red,Spain
Garnacha Tinta,2011,14907.95238,812.5993652,Red,Spain
Garnacha Tinta,2012,13024.56001,1018.736023,Red,Spain
Garnacha Tinta,2013,13452.59232,973.2753296,Red,Spain
Garnacha Tinta,2014,12653.4076,951.3128052,Red,Spain
Garnacha Tinta,2015,11986.95702,990.2056274,Red,Spain
Garnacha Tinta,2016,11661.82998,1159.010742,Red,Spain
Garnacha Tinta,2017,15734.39001,1138.190796,Red,Spain
Garnacha Tinta,2018,11868.65199,1309.940308,Red,Spain
Garnacha Tinta,2019,10696.97901,1222.937378,Red,Spain
Garnacha Tinta,2020,9586.966997,1531.658691,Red,Spain
Garnacha Tinta,2021,13892.30403,1499.900879,Red,Spain
Garnacha Tinta,2022,13682.74019,1423.855103,Red,Spain
Garnacha Tinta,2023,12329.667,1517.015503,Red,Spain
Gewurztraminer,2001,4240.799992,1188.810181,White,Germany
Gewurztraminer,2002,5903.949995,1191.510498,White,Germany
Gewurztraminer,2003,5681.400041,976.4995117,White,Germany
Gewurztraminer,2004,7242.594259,961.7589722,White,Germany
Gewurztraminer,2005,9703.90001,841.3074341,White,Germany
Gewurztraminer,2006,10325.19982,832.6660156,White,Germany
Gewurztraminer,2007,8243.634931,762.2392578,White,Germany
Gewurztraminer,2008,11486.80992,920.5158691,White,Germany
Gewurztraminer,2009,9286.956677,658.7841797,White,Germany
Gewurztraminer,2010,9403.699798,590.9197998,White,Germany
Gewurztraminer,2011,10319.3167,485.4037476,White,Germany
Gewurztraminer,2012,10515.48007,517.0558472,White,Germany
Gewurztraminer,2013,8716.619215,507.3700867,White,Germany
Gewurztraminer,2014,10041.91624,430.0653076,White,Germany
Gewurztraminer,2015,12150.76008,428.8721313,White,Germany
Gewurztraminer,2016,12548.29501,435.2813416,White,Germany
Gewurztraminer,2017,12440.96178,401.0832214,White,Germany
Gewurztraminer,2018,11834.02803,394.8125916,White,Germany
Gewurztraminer,2019,10637.41186,421.2096558,White,Germany
Gewurztraminer,2020,8636.48715,424.0723877,White,Germany
Gewurztraminer,2021,8275.70676,431.6633606,White,Germany
Gewurztraminer,2022,8473.706011,428.1665649,White,Germany
Gewurztraminer,2023,6356.072,386.1907959,White,Germany
Lambrusco Maestri,2001,0,0,Red,Italy
Lambrusco Maestri,2002,0,0,Red,Italy
Lambrusco Maestri,2003,0,0,Red,Italy
Lambrusco Maestri,2004,0,0,Red,Italy
Lambrusco Maestri,2005,0,0,Red,Italy
Lambrusco Maestri,2006,0,0,Red,Italy
Lambrusco Maestri,2007,0,0,Red,Italy
Lambrusco Maestri,2008,0,0,Red,Italy
Lambrusco Maestri,2009,0,0,Red,Italy
Lambrusco Maestri,2010,0,0,Red,Italy
Lambrusco Maestri,2011,0,0,Red,Italy
Lambrusco Maestri,2012,0,0,Red,Italy
Lambrusco Maestri,2013,0,0,Red,Italy
Lambrusco Maestri,2014,0,0,Red,Italy
Lambrusco Maestri,2015,547.3600121,,Red,Italy
Lambrusco Maestri,2016,590.409996,,Red,Italy
Lambrusco Maestri,2017,933.1120186,,Red,Italy
Lambrusco Maestri,2018,1563.303969,,Red,Italy
Lambrusco Maestri,2019,3337.895089,,Red,Italy
Lambrusco Maestri,2020,7418.640167,760.5721436,Red,Italy
Lambrusco Maestri,2021,9209.55798,726.972168,Red,Italy
Lambrusco Maestri,2022,0,0,Red,Italy
Lambrusco Maestri,2023,11239.8,,Red,Italy
Marsanne,2001,2323.999972,1158.649048,White,France
Marsanne,2002,2378.699951,1530.543457,White,France
Marsanne,2003,1988.400008,871.1099243,White,France
Marsanne,2004,3235.217512,1269.796265,White,France
Marsanne,2005,1816.900014,1244.004761,White,France
Marsanne,2006,1547.199988,1014.911926,White,France
Marsanne,2007,1150.632669,858.479248,White,France
Marsanne,2008,1858.469979,1188.186157,White,France
Marsanne,2009,691.6038451,881.5310669,White,France
Marsanne,2010,1682.299989,876.4397583,White,France
Marsanne,2011,655.828661,779.2787476,White,France
Marsanne,2012,1792.499967,587.699585,White,France
Marsanne,2013,533.7957959,735.0739136,White,France
Marsanne,2014,556.9873855,730.842041,White,France
Marsanne,2015,1980.629975,527.064209,White,France
Marsanne,2016,1621.519025,541.8574829,White,France
Marsanne,2017,2190.285985,399.6957703,White,France
Marsanne,2018,1819.220032,491.5048828,White,France
Marsanne,2019,1277.698999,500.0553894,White,France
Marsanne,2020,978.1839814,434.878418,White,France
Marsanne,2021,1470.107013,462.6083984,White,France
Marsanne,2022,801.7619978,700.7851563,White,France
Marsanne,2023,606.534,628.3603516,White,France
Merlot,2001,78749.9999,1864.910645,Red,France
Merlot,2002,103922.3593,1460.082153,Red,France
Merlot,2003,94941.40147,1487.214355,Red,France
Merlot,2004,124440.0524,1198.853516,Red,France
Merlot,2005,135976.3004,1037.367432,Red,France
Merlot,2006,128506.801,903.3926392,Red,France
Merlot,2007,90291.56441,945.5960083,Red,France
Merlot,2008,128678.3914,1089.818726,Red,France
Merlot,2009,112900.2849,787.2189331,Red,France
Merlot,2010,102038.5,645.6798706,Red,France
Merlot,2011,96382.4052,564.2734985,Red,France
Merlot,2012,110728.5907,661.281189,Red,France
Merlot,2013,110543.2649,641.401123,Red,France
Merlot,2014,103279.6224,537.6108398,Red,France
Merlot,2015,100203.6568,548.2327271,Red,France
Merlot,2016,98853.76422,555.6543579,Red,France
Merlot,2017,110245.2845,574.4485474,Red,France
Merlot,2018,89687.29873,656.9644775,Red,France
Merlot,2019,107213.3979,782.9517212,Red,France
Merlot,2020,86134.04458,793.9954224,Red,France
Merlot,2021,108633.3598,688.7507935,Red,France
Merlot,2022,88345.35301,535.2858276,Red,France
Merlot,2023,60624.984,413.8916321,Red,France
Monastrell,2001,11961.50003,1172.291016,Red,Spain
Monastrell,2002,11946.02001,1028.585449,Red,Spain
Monastrell,2003,11650.80001,811.7774658,Red,Spain
Monastrell,2004,12885.94231,855.2562866,Red,Spain
Monastrell,2005,9207.89997,844.5354004,Red,Spain
Monastrell,2006,11196.10006,723.8895264,Red,Spain
Monastrell,2007,5893.436088,876.4411621,Red,Spain
Monastrell,2008,7136.280026,1145.602051,Red,Spain
Monastrell,2009,5513.070012,876.1500244,Red,Spain
Monastrell,2010,4153.100013,1013.143005,Red,Spain
Monastrell,2011,4557.768287,820.7824707,Red,Spain
Monastrell,2012,4812.990004,958.552124,Red,Spain
Monastrell,2013,4935.453281,855.3271484,Red,Spain
Monastrell,2014,4299.850086,882.5379028,Red,Spain
Monastrell,2015,6237.403997,972.7440796,Red,Spain
Monastrell,2016,4661.364994,1126.090698,Red,Spain
Monastrell,2017,6582.546011,1078.464844,Red,Spain
Monastrell,2018,6133.422003,1120.775391,Red,Spain
Monastrell,2019,5311.039994,1120.554077,Red,Spain
Monastrell,2020,4350.716995,1308.565918,Red,Spain
Monastrell,2021,8519.279982,1290.869507,Red,Spain
Monastrell,2022,5354.284039,1272.46814,Red,Spain
Monastrell,2023,5141.614,1181.667358,Red,Spain
Moscato Giallo,2001,0,0,White,Italy
Moscato Giallo,2002,0,0,White,Italy
Moscato Giallo,2003,0,0,White,Italy
Moscato Giallo,2004,0,0,White,Italy
Moscato Giallo,2005,0,0,White,Italy
Moscato Giallo,2006,0,0,White,Italy
Moscato Giallo,2007,0,0,White,Italy
Moscato Giallo,2008,0,0,White,Italy
Moscato Giallo,2009,0,0,White,Italy
Moscato Giallo,2010,0,0,White,Italy
Moscato Giallo,2011,0,0,White,Italy
Moscato Giallo,2012,0,0,White,Italy
Moscato Giallo,2013,0,0,White,Italy
Moscato Giallo,2014,0,0,White,Italy
Moscato Giallo,2015,2232.50407,341.4553833,White,Italy
Moscato Giallo,2016,1922.217987,321.5245667,White,Italy
Moscato Giallo,2017,2850.056999,351.2412415,White,Italy
Moscato Giallo,2018,2367.617976,341.8146057,White,Italy
Moscato Giallo,2019,2552.165956,333.5160217,White,Italy
Moscato Giallo,2020,2005.296026,414.1655884,White,Italy
